Strain,Gene and Allele,Phenotypic or Functional Class,Color code,
RB1832,acc-4(ok2371),other,,
RB2005,acd-5(ok2657),Deg/ENaC Channel,,
RB2262,acr-10(ok3064),Acetylcholine Receptor,,
RB1263,acr-11(ok1345),Acetylcholine Receptor,,
RB1132,acr-14(ok1155),Acetylcholine Receptor,,
RB1172,acr-15(ok1214),Acetylcholine Receptor,,
RB1226,acr-18(ok1285),Acetylcholine Receptor,,
DA1674,acr-19(ad1674),Acetylcholine Receptor,,
RB1559,acr-2(ok1887),Acetylcholine Receptor,,
RB1250,acr-21(ok1314),Acetylcholine Receptor,,
RB2119,acr-23(ok2804),Acetylcholine Receptor,,
RB1659,acr-3(ok2049),Acetylcholine Receptor,,
RB2294,acr-6(ok3117),Acetylcholine Receptor,,
FX863,acr-7(tm863),Acetylcholine Receptor,,
VC649,acr-9(ok933),Acetylcholine Receptor,,
RB680,asic-1(ok415),Deg/ENaC Channel,,
RB557,asic-2(ok289),Deg/ENaC Channel,,
MT7988,bas-1(ad446),Monoamine Related,,
RB1380,C11D2.2(ok1565),other,,
RB1818,C18B2.6(ok2353),Deg/ENaC Channel,,
RB1523,C24G7.1(ok1822),Deg/ENaC Channel,,
RB1192,C24G7.4(ok1237),Deg/ENaC Channel,,
RB1543,C38D9.2(ok1853),other,,
RB1156,C46A5.2(ok1187),Deg/ENaC Channel,,
VC1340,C52B9.11(gk596),other,,
CB1112,cat-2(e1112),Monoamine Related,,
CB1141,cat-4(e1141),Monoamine Related,,
CB1376,daf-3(e1376),other,,
CB1364,daf-4(e1364),other,,
CB1386,daf-5(e1386),other,,
DR62,daf-7(m62),other,,
RM2702,dat-1(ok157),Monoamine Related,,
NC279,del-1(ok150),Deg/ENaC Channel,,
AQ2937,del-1(ok150); unc-8(e15lb145),Deg/ENaC Channel,,
RB1064,del-4(ok1014),Deg/ENaC Channel,,
EU1006,dnc-1(or404),other,,
LX636,dop-1(vs101),Monoamine Related,,
LX706,dop-1(vs100); dop-2(vs105),Monoamine Related,,
LX734,dop-1(vs100); dop-2(vs105); dop-3(vs106),Monoamine Related,,
LX705,dop-1(vs100); dop-3(vs106),Monoamine Related,,
LX702,dop-2(vs105),Monoamine Related,,
LX704,dop-2(vs105); dop-3(vs106),Monoamine Related,,
LX703,dop-3(vs106),Monoamine Related,,
FG58,dop-4(tm1392),Monoamine Related,,
CB1282,dpy-20(e1282),other,,
JT609,eat-16(sa609),other,,
VC1295,egg-5(ok1781),other,,
MT1082,egl-1(n487),Egg laying defective ,,
MT8504,egl-10(md176),Egg laying defective ,,
MT1217,egl-11(n587),Egg laying defective ,,
MT1232,egl-12(n602),Egg laying defective ,,
MT1078,egl-13(n483),Egg laying defective ,,
MT1179,egl-14(n549),Egg laying defective ,,
MT1079,egl-15(n484),Egg laying defective ,,
CB1313,egl-17(e1313),Egg laying defective ,,
JR2370,egl-18(ok290),Egg laying defective ,,
MT6129,egl-19(n2368),Egg laying defective ,,
MT1444,egl-2(n693),Egg laying defective ,,
CF263,egl-20(mu39),Egg laying defective ,,
KP2018,egl-21(n476),Egg laying defective ,,
MT1241,egl-21(n611),Egg laying defective ,,
MT1231,egl-23(n601),Egg laying defective ,,
MT1202,egl-24(n572),Egg laying defective ,,
KS99,egl-27(ok151),Egg laying defective ,,
MT1200,egl-28(n570),Egg laying defective ,,
CE1047,egl-30(ep271),Egg laying defective ,,
AQ916,egl-30(n686); goa-1(n1134),Egg laying defective ,,
MT1067,egl-31(n472),Egg laying defective ,,
MT155,egl-32(n155),Egg laying defective ,,
MT151,egl-33(n151),Egg laying defective ,,
MT1540,egl-36(n728),Egg laying defective ,,
MT1542,egl-37(n742),Egg laying defective ,,
MT1236,egl-40(n606),Egg laying defective ,,
MT2068,egl-42(n995),Egg laying defective ,,
MT2246,egl-43(n1079),Egg laying defective ,,
MT2247,egl-44(n1080),Egg laying defective ,,
MT2316,egl-46(n1127),Egg laying defective ,,
MT2248,egl-47(n1081),Egg laying defective ,,
MT2293,egl-49(n1107),Egg laying defective ,,
MT1081,egl-5(n486),Egg laying defective ,,
AQ2316,egl-50(n1086),Egg laying defective ,,
MT1222,egl-6(n592),Egg laying defective ,,
MT1205,egl-7(n575),Egg laying defective ,,
MT1083,egl-8(n488),Egg laying defective ,,
MT1216,egl-9(n586),Egg laying defective ,,
RB1177,F23B2.3(ok1226),Deg/ENaC Channel,,
RB1802,F54E4.4(ok2336),other,,
NY7,flp-1(yn2),Neuropeptide,,
RB1989,flp-10(ok2624),Neuropeptide,,
FX2706,flp-11(tm2706),Neuropeptide,,
RB1863,flp-12(ok2409),Neuropeptide,,
FX2427,flp-13(tm2427),Neuropeptide,,
RB2275,flp-16(ok3085),Neuropeptide,,
RB2575,flp-17(ok3587),Neuropeptide,,
AX1410,flp-18(db99),Neuropeptide,,
RB1902,flp-19(ok2460),Neuropeptide,,
RB2188,flp-20(ok2964),Neuropeptide,,
RB982,flp-21(ok889),Neuropeptide,,
VC1982,flp-25(gk1016),Neuropeptide,,
VC2502,flp-28(gk1075),Neuropeptide,,
VC2497,flp-3(ok3265),Neuropeptide,,
VC2423,flp-33(gk1038),Neuropeptide,,
VC2324,flp-6(ok3056),Neuropeptide,,
RB1990,flp-7(ok2625),Neuropeptide,,
RB2067,flp-9(ok2730),Neuropeptide,,
JC55,flr-1(ut11),Deg/ENaC Channel,,
RB756,gar-2(ok520),other,,
VC335,gly-2(gk204),other,,
DG1856,goa-1(sa734),other,,
EJ26,gon-2(q362),Transient Receptor Potential Channel,,
NL332,gpa-1(pk15),G Protein Related,,
NL1147,gpa-10(pk362),G Protein Related,,
NL787,gpa-11(pk349),G Protein Related,,
NL594,gpa-12(pk322),G Protein Related,,
NL2330,gpa-13(pk1270),G Protein Related,,
AQ495,gpa-14(pk347),G Protein Related,,
NL797,gpa-15(pk477),G Protein Related,,
RB1816,gpa-16(ok2349),G Protein Related,,
RB1800,gpa-17(ok2334),G Protein Related,,
NL334,gpa-2(pk16),G Protein Related,,
NL335,gpa-3(pk35),G Protein Related,,
NL790,gpa-4(pk381),G Protein Related,,
NL1137,gpa-5(pk376),G Protein Related,,
NL1146,gpa-6(pk480),G Protein Related,,
NL795,gpa-7(pk610),G Protein Related,,
NL1142,gpa-8(pk345),G Protein Related,,
NL793,gpa-9(pk438),G Protein Related,,
JT603,gpb-2(sa603),G Protein Related,,
NL792,gpc-1(pk298),G Protein Related,,
RB777,hcf-1(ok559),other,,
PS4330,him-5(e1490); spe-41(sy693),other,,
FX1053,ins-11(tm1053),Neuropeptide,,
RB2489,ins-15(ok3444),Neuropeptide,,
RB2159,ins-16(ok2919),Neuropeptide,,
VC1218,ins-18(ok1672),Neuropeptide,,
RB2594,ins-22(ok3616),Neuropeptide,,
RB2098,ins-25(ok2773),Neuropeptide,,
RB1911,ins-27(ok2474),Neuropeptide,,
RB2059,ins-28(ok2722),Neuropeptide,,
RB1915,ins-3(ok2488),Neuropeptide,,
RB1809,ins-30(ok2343),Neuropeptide,,
RB2552,ins-31(ok3543),Neuropeptide,,
RB2412,ins-35(ok3297),Neuropeptide,,
RB2544,ins-4(ok3534),Neuropeptide,,
VC8,jnk-1(gk7),other,,
ZZ427,lev-1(x427),other,,
ZZ15,lev-8(x15),other,,
RB873,lig-4(ok716),other,,
MT1514,lin-39(n709),other,,
kg1180,lite-1(ce312),other,,
CB678,lon-2(e678),other,,
RB753,lov-1(ok522),Transient Receptor Potential Channel,,
CB1515,mec-10(e1515),Deg/ENaC Channel,,
AQ1413,mec-10(tm1552),Deg/ENaC Channel,,
AQ2533,mec-10(u20),Deg/ENaC Channel,,
AQ1031,mec-12(e1605),other,,
AQ1037,mec-12(u76),other,,
AQ1038,mec-14(u55),other,,
AQ2649,mec-18(u228),other,,
AQ908,mec-4(u253),Deg/ENaC Channel,,
AQ1033,mec-7(u448),other,,
MT13292,mir-124(n4255),other,,
MT9668,mod-1(ok103),Monoamine Related,,
MT8944,mod-5(n822),Monoamine Related,,
VC9,nca-2(gk5),other,,
AQ2934,nca-2(gk5); nzIs29[unc-17::rho-1(g14v) unc-122::gfp],other,,
AQ2932,nca-2(gk5);  nzIs29,other,,
AQ1441,nca-2(gk5);  unc-77(gk9);  nzIs29,other,,
VC1759,nhr-95(gk836),other,,
RB1340,nlp-1(ok1469),Neuropeptide,,
RB607,nlp-12(ok335),Neuropeptide,,
FX1880,nlp-14(tm1880),Neuropeptide,,
VC1063,nlp-15(ok1512),Neuropeptide,,
RB2498,nlp-17(ok3461),Neuropeptide,,
RB1372,nlp-18(ok1557),Neuropeptide,,
FX1908,nlp-2(tm1908),Neuropeptide,,
RB1396,nlp-20(ok1591),Neuropeptide,,
RB2030,nlp-3(ok2688),Neuropeptide,,
VC1309,nlp-8(ok1799),Neuropeptide,,
RC301,npr-1(g320),G Protein Related,,
DA609,npr-1(ad609),G Protein Related,,
FX1568,npr-10(tm1568),G Protein Related,,
RB799,npr-11(ok594),G Protein Related,,
FX1498,npr-12(tm1498),G Protein Related,,
AQ2153,npr-13(tm1504),G Protein Related,,
AQ2056,npr-2(ok419),G Protein Related,,
RB1958,npr-20(ok2575),G Protein Related,,
FX1583,npr-3(tm1583),G Protein Related,,
AX1743,npr-4(tm1782),G Protein Related,,
AX1745,npr-5(ok1583),G Protein Related,,
RB761,npr-7(ok527),G Protein Related,,
FX1553,npr-8(tm1553),G Protein Related,,
IC683,npr-9(tm1652),G Protein Related,,
AQ2933,unc-77(gk9); nzIs29,other,,
AQ2935,unc-79(e1068); nzIs29,other,,
AQ2936,unc-80(e1069); nzIs29,other,,
LX982,ocr-1(ok132); ocr-2(ak47); ocr-4(vs137),Transient Receptor Potential Channel,,
LX981,ocr-2(ak47); ocr-4(vs137),Transient Receptor Potential Channel,,
RB1374,ocr-3(ok1559),Transient Receptor Potential Channel,,
FX2173,ocr-4(tm2173),Transient Receptor Potential Channel,,
LX950,ocr-4(vs137),Transient Receptor Potential Channel,,
VC224,octr-1(ok371),Monoamine Related,,
CX2205,odr-3(n2150),G Protein Related,,
CX10,osm-9(ky10),Transient Receptor Potential Channel,,
AQ1422,osm-9(ky10); trpa-1(ok999),Transient Receptor Potential Channel,,
VC282,pdl-1(gk157),other,,
IK130,pkc-1(nj3),other,,
MT1073,pkg-1(n478),other,,
KU25,pmk-1(km25),other,,
RB1350,pqn-66(ok1507),Transient Receptor Potential Channel,,
NM210,rab-3(y250),other,,
RB946,ric-19(ok833),other,,
EW35,sem-4(ga82),other,,
DA1814,ser-1(ok345),Monoamine Related,,
OH313,ser-2(pk1357),Monoamine Related,,
AQ866,ser-4(ok512),Monoamine Related,,
AQ2197,ser-5(tm2654),Monoamine Related,,
FX2146,ser-6(tm2146),Monoamine Related,,
DA2100,ser-7(tm1325),Monoamine Related,,
CB502,sma-2(e502),other,,
CB491,sma-3(e491),other,,
RB919,snf-1(ok790),Monoamine Related,,
BA1093,snf-10(hc194),Monoamine Related,,
RM2710,snf-11(ok156),Monoamine Related,,
RB641,snf-2(ok147),Monoamine Related,,
RB738,snf-4(ok496),Monoamine Related,,
RB687,snf-5(ok447),Monoamine Related,,
BZ28,snf-6(eg28),Monoamine Related,,
RB709,snf-7(ok482),Monoamine Related,,
RB648,snf-8(ok349),Monoamine Related,,
RB1030,snf-9(ok957),Monoamine Related,,
RB503,sng-1(ok234),other,,
RB559,srp-8(ok291),other,,
MT180,sup-9(n180),other,,
RB2615,syg-1(ok3640),other,,
CX6391,syg-2(ky671),other,,
VC1243,T14B1.1(ok1702),other,,
VC975,tag-336(ok1477),Deg/ENaC Channel,,
MT9455,tbh-1(n3247),Monoamine Related,,
MT13113,tdc-1(n3419),Monoamine Related,,
RB1546,tmc-1(ok1859),other,,
VC223,tom-1(ok285),other,,
MT15434,tph-1(mg280),Monoamine Related,,
TQ225,trp-1(sy690),Transient Receptor Potential Channel,,
VC602,trp-2(gk298),Transient Receptor Potential Channel,,
TQ194,trp-2(sy691),Transient Receptor Potential Channel,,
TQ296,trp-4(sy695),Transient Receptor Potential Channel,,
RB1052,trpa-1(ok999),Transient Receptor Potential Channel,,
FX3085,trpa-2(tm3085),Transient Receptor Potential Channel,,
RB2351,trpa-2(ok3189),Transient Receptor Potential Channel,,
FX3092,trpa-2(tm3092),Transient Receptor Potential Channel,,
FX1846,tyra-2(tm1846),Monoamine Related,,
VC125,tyra-3(ok325),Monoamine Related,,
CB1598,unc-1(e1598),Uncoordinated,,
CB94,unc-1(e94),Uncoordinated,,
NM1657,unc-10(md1117),Uncoordinated,,
CB102,unc-10(e102),Uncoordinated,,
DR1,unc-101(m1),Uncoordinated,,
CB1597,unc-103(e1597),Uncoordinated,,
CB1265,unc-104(e1265),Uncoordinated,,
RB1316,unc-105(ok1432),Uncoordinated,,
MT1093,unc-108(n501),Uncoordinated,,
MT1656,unc-108(n777),Uncoordinated,,
SP1789,unc-115(mn481),Uncoordinated,,
FF41,unc-116(e2310),Uncoordinated,,
CB4371,unc-118(e2331),Uncoordinated,,
HH27,unc-127(hs13),Uncoordinated,,
CB57,unc-14(e57),Uncoordinated,,
CB109,unc-16(e109),Uncoordinated,,
VC854,unc-2(gk366),Uncoordinated,,
