"V1","V2","V3","V4","V5","V6"
0.60274,-4.2831,0.065247,-0.57179,0.11752,2.4672
-0.072274,-4.2868,0.15891,-0.45139,0.0061517,2.4816
-0.73458,-4.2694,0.24722,-0.3376,-0.10634,2.4966
-1.3584,-4.2085,0.32306,-0.23543,-0.20566,2.5122
-1.9179,-4.0903,0.38528,-0.14009,-0.27391,2.5279
-2.4037,-3.9105,0.44367,-0.043036,-0.3099,2.5436
-2.8127,-3.6756,0.5049,0.053539,-0.32669,2.5593
-3.1563,-3.3915,0.56475,0.14221,-0.33411,2.5752
-3.4585,-3.0514,0.61459,0.22424,-0.32976,2.5921
-3.7432,-2.6326,0.65467,0.31285,-0.31615,2.6106
-3.9985,-2.138,0.68992,0.41175,-0.29939,2.6302
-4.1997,-1.5934,0.71812,0.50725,-0.2841,2.6498
-4.3279,-1.0331,0.73802,0.58148,-0.27712,2.6686
-4.3787,-0.48158,0.74482,0.62189,-0.2852,2.6859
-4.356,0.07486,0.73237,0.62816,-0.3116,2.7021
-4.2589,0.64886,0.69482,0.61075,-0.33524,2.7175
-4.0898,1.2385,0.63211,0.58498,-0.33612,2.7316
-3.8706,1.7997,0.5544,0.56128,-0.30766,2.7435
-3.6471,2.249,0.48048,0.54498,-0.25432,2.7519
-3.4386,2.5776,0.4181,0.53139,-0.1897,2.7572
-3.2444,2.8171,0.36764,0.51287,-0.12181,2.7601
-3.0487,3.0125,0.32331,0.4881,-0.053126,2.7612
-2.8359,3.1962,0.27652,0.46678,0.01818,2.7606
-2.591,3.3865,0.21979,0.46335,0.099052,2.7584
-2.3179,3.5795,0.15668,0.48036,0.18947,2.7547
-2.0435,3.7549,0.094722,0.51028,0.28107,2.7502
-1.7867,3.8999,0.03865,0.54845,0.35968,2.7454
-1.5494,4.0137,-0.011771,0.59196,0.41948,2.7407
-1.3275,4.102,-0.056748,0.63379,0.46255,2.7362
-1.0993,4.1796,-0.098974,0.67347,0.4992,2.732
-0.83598,4.2612,-0.13468,0.72417,0.54158,2.7272
