"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"zyg-9_b244 (pp) zyg-9_b244",,"0.0","pp",,"zyg-9_b244 (pp) zyg-9_b244","false","pp","zyg-9_b244 (pp) zyg-9_b244"
"unc-9_e101 (pp) unc-9_e101",,"0.0","pp",,"unc-9_e101 (pp) unc-9_e101","false","pp","unc-9_e101 (pp) unc-9_e101"
"unc-77_e625 (pp) unc-77_e625",,"0.0","pp",,"unc-77_e625 (pp) unc-77_e625","false","pp","unc-77_e625 (pp) unc-77_e625"
"unc-69_e587 (pp) unc-69_e587",,"0.0","pp",,"unc-69_e587 (pp) unc-69_e587","false","pp","unc-69_e587 (pp) unc-69_e587"
"unc-60_e723 (pp) unc-60_e723",,"0.0","pp",,"unc-60_e723 (pp) unc-60_e723","false","pp","unc-60_e723 (pp) unc-60_e723"
"unc-4_gk705 (pp) unc-4_gk705",,"0.0","pp",,"unc-4_gk705 (pp) unc-4_gk705","false","pp","unc-4_gk705 (pp) unc-4_gk705"
"unc-37_e262 (pp) unc-37_e262",,"0.0","pp",,"unc-37_e262 (pp) unc-37_e262","false","pp","unc-37_e262 (pp) unc-37_e262"
"tmc-1_ok1859 (pp) tmc-1_ok1859",,"0.0","pp",,"tmc-1_ok1859 (pp) tmc-1_ok1859","false","pp","tmc-1_ok1859 (pp) tmc-1_ok1859"
"npr-1_g320 (pp) npr-1_g320",,"0.0","pp",,"npr-1_g320 (pp) npr-1_g320","false","pp","npr-1_g320 (pp) npr-1_g320"
"nca-2;nRHO-1_G14V;gk5 (pp) nca-2;nRHO-1_G14V;gk5",,"0.0","pp",,"nca-2;nRHO-1_G14V;gk5 (pp) nca-2;nRHO-1_G14V;gk5","false","pp","nca-2;nRHO-1_G14V;gk5 (pp) nca-2;nRHO-1_G14V;gk5"
"lon-2_e678 (pp) lon-2_e678",,"0.0","pp",,"lon-2_e678 (pp) lon-2_e678","false","pp","lon-2_e678 (pp) lon-2_e678"
"flp-28_gk1075 (pp) flp-28_gk1075",,"0.0","pp",,"flp-28_gk1075 (pp) flp-28_gk1075","false","pp","flp-28_gk1075 (pp) flp-28_gk1075"
"egl-30_ep271 (pp) egl-30_ep271",,"0.0","pp",,"egl-30_ep271 (pp) egl-30_ep271","false","pp","egl-30_ep271 (pp) egl-30_ep271"
"unc-75_e950 (pp) vab-7_e1562","2.0","0.54","pp","0.135481357","unc-75_e950 (pp) vab-7_e1562","false","pp","unc-75_e950 (pp) vab-7_e1562"
"unc-55_e402 (pp) unc-8_e15lb145","528.06355402","0.48","pp","0.154300012","unc-55_e402 (pp) unc-8_e15lb145","false","pp","unc-55_e402 (pp) unc-8_e15lb145"
"unc-43_e755 (pp) unc-8_e15","2.0","0.41","pp","0.121601","unc-43_e755 (pp) unc-8_e15","false","pp","unc-43_e755 (pp) unc-8_e15"
"unc-80_e1069 (pp) unc-98_su130","133.41443165","0.66","pp","0.149093823","unc-80_e1069 (pp) unc-98_su130","false","pp","unc-80_e1069 (pp) unc-98_su130"
"unc-80_e1069 (pp) unc-8_n491n1192","133.41443165","0.66","pp","0.118613748","unc-80_e1069 (pp) unc-8_n491n1192","false","pp","unc-80_e1069 (pp) unc-8_n491n1192"
"unc-80_e1069 (pp) unc-86_e1416","18.1711367","0.45","pp","0.11912897","unc-80_e1069 (pp) unc-86_e1416","false","pp","unc-80_e1069 (pp) unc-86_e1416"
"unc-79_e1068 (pp) unc-98_su130","135.39082518","0.65","pp","0.203902489","unc-79_e1068 (pp) unc-98_su130","false","pp","unc-79_e1068 (pp) unc-98_su130"
"unc-79_e1068 (pp) unc-8_n491n1192","135.39082518","0.65","pp","0.157041724","unc-79_e1068 (pp) unc-8_n491n1192","false","pp","unc-79_e1068 (pp) unc-8_n491n1192"
"unc-79_e1068 (pp) unc-7_e5","135.39082518","0.65","pp","0.127264996","unc-79_e1068 (pp) unc-7_e5","false","pp","unc-79_e1068 (pp) unc-7_e5"
"unc-86_e1416 (pp) unc-98_su130","119.83971115","0.56","pp","0.147510558","unc-86_e1416 (pp) unc-98_su130","false","pp","unc-86_e1416 (pp) unc-98_su130"
"unc-86_e1416 (pp) unc-8_n491n1192","119.83971115","0.56","pp","0.137520507","unc-86_e1416 (pp) unc-8_n491n1192","false","pp","unc-86_e1416 (pp) unc-8_n491n1192"
"unc-40_n324 (pp) unc-86_e1416","129.26351558","0.66","pp","0.185686553","unc-40_n324 (pp) unc-86_e1416","false","pp","unc-40_n324 (pp) unc-86_e1416"
"unc-40_n324 (pp) unc-77_gk9","375.56343292","0.49","pp","0.146677761","unc-40_n324 (pp) unc-77_gk9","false","pp","unc-40_n324 (pp) unc-77_gk9"
"unc-40_n324 (pp) unc-42_e270","489.62622941","0.49","pp","0.140403994","unc-40_n324 (pp) unc-42_e270","false","pp","unc-40_n324 (pp) unc-42_e270"
"unc-4_e120 (pp) unc-55_e402","147.24911902","0.41","pp","0.142704239","unc-4_e120 (pp) unc-55_e402","false","pp","unc-4_e120 (pp) unc-55_e402"
"unc-8_n491n1192 (pp) unc-98_su130","2.0","1.0","pp","0.173225965","unc-8_n491n1192 (pp) unc-98_su130","false","pp","unc-8_n491n1192 (pp) unc-98_su130"
"unc-7_e5 (pp) unc-98_su130","2.0","1.0","pp","0.168573119","unc-7_e5 (pp) unc-98_su130","false","pp","unc-7_e5 (pp) unc-98_su130"
"unc-7_e5 (pp) unc-8_n491n1192","2.0","1.0","pp","0.115833521","unc-7_e5 (pp) unc-8_n491n1192","false","pp","unc-7_e5 (pp) unc-8_n491n1192"
"unc-7_e5 (pp) unc-86_e1416","119.83971115","0.56","pp","0.104661354","unc-7_e5 (pp) unc-86_e1416","false","pp","unc-7_e5 (pp) unc-86_e1416"
"unc-7_e5 (pp) unc-80_e1069","133.41443165","0.66","pp","0.103805333","unc-7_e5 (pp) unc-80_e1069","false","pp","unc-7_e5 (pp) unc-80_e1069"
"unc-42_e270 (pp) unc-98_su130","5.77874621","0.72","pp","0.154014531","unc-42_e270 (pp) unc-98_su130","false","pp","unc-42_e270 (pp) unc-98_su130"
"unc-42_e270 (pp) unc-8_n491n1192","5.77874621","0.72","pp","0.106586976","unc-42_e270 (pp) unc-8_n491n1192","false","pp","unc-42_e270 (pp) unc-8_n491n1192"
"unc-42_e270 (pp) unc-86_e1416","116.06096494","0.54","pp","0.140102579","unc-42_e270 (pp) unc-86_e1416","false","pp","unc-42_e270 (pp) unc-86_e1416"
